index,dataset,folder,scenario_idx,track_id,ego_id,timerange,priority_label,priority_value,n_valid_timesteps,n_invalid_timesteps,IO
173,waymo_train,waymo_300-499,91011,2448;ego,ego,"range(0, 37)",ego,0.0,17,0,0.47213299361087213
174,waymo_train,waymo_300-499,91653,796;ego,ego,"range(24, 82)",ego,0.0,36,0,0.5231814716324616
175,waymo_train,waymo_300-499,92088,2308;ego,ego,"range(11, 73)",ego,0.0,38,0,0.6421928134666717
176,waymo_train,waymo_300-499,92724,255;ego,ego,"range(44, 88)",ego,0.0,30,0,0.5979967880606202
177,waymo_train,waymo_300-499,96333,1738;ego,ego,"range(0, 41)",1738,1.0,24,0,0.88341712829531
178,waymo_train,waymo_300-499,97309,1297;ego,ego,"range(0, 46)",ego,0.0,36,0,0.5205312839757676
179,waymo_train,waymo_500-799,21494,4;ego,ego,"range(0, 53)",ego,0.0,38,0,0.6687328973510497
180,waymo_train,waymo_500-799,3596,249;ego,ego,"range(0, 32)",ego,0.0,22,0,0.41413879949964694
181,waymo_train,waymo_500-799,41283,583;ego,ego,"range(24, 87)",ego,0.0,38,0,0.6870096720314599
182,waymo_train,waymo_500-799,44011,728;ego,ego,"range(0, 43)",ego,0.0,27,0,0.5529326367053371
183,waymo_train,waymo_500-799,44011,728;741;ego,ego,"range(0, 38)",741,1.0,27,0,0.750974997766078
184,waymo_train,waymo_500-799,45391,2;ego,ego,"range(10, 68)",equal,0.5,37,0,0.9018297803718855
185,waymo_train,waymo_500-799,4842,204;ego,ego,"range(0, 30)",ego,0.0,15,0,0.0007544079688647824
186,waymo_train,waymo_500-799,61393,3512;ego,ego,"range(0, 53)",ego,0.0,40,0,0.6500026048043477
187,waymo_train,waymo_500-799,73980,1176;ego,ego,"range(30, 82)",ego,0.0,47,0,0.7454294123061157
188,waymo_train,waymo_500-799,81156,207;ego,ego,"range(36, 75)",ego,0.0,27,0,0.40747435765331796
189,waymo_train,waymo_500-799,8268,2235;ego,ego,"range(35, 84)",ego,0.0,32,0,0.5338162174552243
190,waymo_train,waymo_500-799,103660,2220;2227;ego,ego,"range(20, 65)",2227,1.0,35,0,0.5996925877379883
191,waymo_train,waymo_500-799,13675,1667;ego,ego,"range(5, 45)",1667,1.0,21,0,0.579123405567655
192,waymo_train,waymo_500-799,15617,39;ego,ego,"range(29, 90)",ego,0.0,43,0,0.7204798963220429
193,waymo_train,waymo_500-799,16609,1814;ego,ego,"range(0, 36)",ego,0.0,28,0,0.3998569173800268
194,waymo_train,waymo_500-799,18275,1279;ego,ego,"range(7, 52)",ego,0.0,35,0,0.5313923555683562
195,waymo_train,waymo_500-799,18960,1576;ego,ego,"range(0, 49)",1576,1.0,28,0,0.7730430767187281
196,waymo_train,waymo_500-799,19138,2116;ego,ego,"range(0, 32)",equal,0.5,23,0,0.8555340062516232
197,waymo_train,waymo_500-799,21827,394;ego,ego,"range(0, 35)",equal,0.5,15,0,0.8162256002835878
198,waymo_train,waymo_500-799,22409,757;ego,ego,"range(0, 30)",ego,0.0,14,0,0.12689369227816344
199,waymo_train,waymo_500-799,23447,1205;ego,ego,"range(26, 84)",ego,0.0,37,0,0.5792399586572858
200,waymo_train,waymo_500-799,25101,590;ego,ego,"range(0, 39)",ego,0.0,25,0,0.48338375780500686
201,waymo_train,waymo_500-799,25331,765;ego,ego,"range(11, 52)",ego,0.0,31,0,0.8708861333468664
202,waymo_train,waymo_500-799,81293,1201;ego,ego,"range(3, 43)",1201,1.0,26,0,0.6404487005479726
203,waymo_train,waymo_500-799,81963,1166;ego,ego,"range(8, 74)",ego,0.0,34,0,0.655085255214028
204,waymo_train,waymo_500-799,82079,603;611;ego,ego,"range(30, 71)",603,1.0,30,0,0.5209004623270916
205,waymo_train,waymo_500-799,30061,627;ego,ego,"range(7, 56)",627,1.0,24,0,0.6424102777803643
206,waymo_train,waymo_500-799,31145,514;ego,ego,"range(20, 68)",514,1.0,42,0,0.7633328021252227
207,waymo_train,waymo_500-799,85831,55;ego,ego,"range(0, 33)",ego,0.0,17,0,0.8126928544875415
208,waymo_train,waymo_500-799,32999,458;ego,ego,"range(30, 73)",equal,0.5,34,0,0.8819457509894632
209,waymo_train,waymo_500-799,33356,182;ego,ego,"range(0, 61)",182,1.0,54,0,0.768744889564533
210,waymo_train,waymo_500-799,87038,32;ego,ego,"range(0, 49)",32,1.0,37,0,0.773992154131651
211,waymo_train,waymo_500-799,34141,3864;ego,ego,"range(9, 71)",ego,0.0,37,0,0.5748419883892599
212,waymo_train,waymo_500-799,87917,1443;ego,ego,"range(10, 52)",ego,0.0,22,0,0.8618892655983675
213,waymo_train,waymo_500-799,35190,2678;ego,ego,"range(0, 42)",ego,0.0,33,0,0.8758061574501812
214,waymo_train,waymo_500-799,3625,56;ego,ego,"range(3, 46)",56,1.0,21,0,0.8306980356579753
215,waymo_train,waymo_500-799,90559,1061;ego,ego,"range(0, 34)",ego,0.0,26,0,0.45689205722352083
216,waymo_train,waymo_500-799,90736,950;ego,ego,"range(18, 74)",ego,0.0,39,0,0.6471458684984049
217,waymo_train,waymo_500-799,90874,1393;ego,ego,"range(11, 52)",ego,0.0,31,0,0.5941955923337088
218,waymo_train,waymo_500-799,39025,2139;ego,ego,"range(30, 90)",ego,0.0,47,0,0.6778898794539508
219,waymo_train,waymo_500-799,93026,813;ego,ego,"range(26, 68)",813,1.0,30,0,0.6091932003169034
220,waymo_train,waymo_500-799,93061,2308;ego,ego,"range(21, 83)",ego,0.0,38,0,0.6421928134666717
221,waymo_train,waymo_500-799,4008,3406;ego,ego,"range(2, 60)",ego,0.0,40,0,0.6833915727921058
