index,TTC,PET,a_p,a_l,jerk,yaw_rate,task_time,avg_delay,IO,impact
118,1.0,1.0,0.9431109724285683,0.9996844911429623,0.5083045279752765,1.0,0.5329424399127187,0.5725179120712444,1.0,1.0
119,1.0,1.0,0.9648676202438969,0.9962560692361345,0.2709715158342175,1.0,0.5265861256082509,0.6665757886870848,0.9148973338486066,0.9547334456610211
120,1.0,0.7943884670829499,0.8670271455878954,1.0,0.48681798677058047,1.0,0.42729596867200076,1.0,0.579123405567655,1.0
121,1.0,1.0,0.8854023029432,0.908495299188833,0.45038923215347393,1.0,0.48801677263135906,0.0,0.6707942955990264,1.0
122,1.0,1.0,0.9824964142785779,1.0,0.6757100773331344,1.0,0.7074581883858229,0.5183268006051072,0.6282088154542476,0.9876630095312431
123,1.0,1.0,0.998892970573977,1.0,0.6117678132859009,1.0,0.8208547004444657,0.0,0.6696197575911912,0.9884501895448387
124,1.0,1.0,0.863591188260054,1.0,0.3724620012840808,1.0,0.496067232954565,0.5315062196978688,0.2506244601621672,1.0
125,0.9565993927603433,1.0,0.9997929230754418,1.0,0.7947690474131874,1.0,0.40804412300578147,0.8498063375488175,0.5046683367372065,0.9266515077424535
126,1.0,1.0,1.0,0.9993784309004169,0.6627237973558104,1.0,0.6859858976448503,0.07381199492368036,0.850908815203247,1.0
127,1.0,1.0,1.0,1.0,0.7407944834622889,1.0,0.5923067341176526,0.0,0.5777890411123284,0.9998241541011428
128,1.0,0.528896591842656,1.0,1.0,0.7659571640487943,1.0,0.7638007853186084,1.0,0.8206215988136121,1.0
129,1.0,1.0,0.9205008012665583,1.0,0.6037609784307958,1.0,0.6989911851671807,0.46563491941033247,0.8975963845082378,0.9106893111997648
130,0.8260163838902845,1.0,0.7052767201696462,1.0,0.5225013937214833,1.0,0.1165708198272807,0.552834663093465,0.4941775745132628,0.8650048446368616
131,1.0,0.6534209626873684,1.0,1.0,0.9750164487266701,1.0,1.0,1.0,0.8126928544875415,1.0
