index,dataset,folder,scenario_idx,track_id,ego_id,timerange,threshold_s,exp_factor,n_timesteps,TTC
105,waymo_train,waymo_300-499,1013,3457;ego,ego,"range(25, 73)",3.0,0.5,48,1.0
106,waymo_train,waymo_300-499,3052,572;ego,ego,"range(13, 75)",3.0,0.5,62,1.0
107,waymo_train,waymo_300-499,3545,95;ego,ego,"range(40, 79)",3.0,0.5,39,1.0
108,waymo_train,waymo_300-499,1698,3222;ego,ego,"range(18, 83)",3.0,0.5,65,1.0
109,waymo_train,waymo_300-499,4263,2;ego,ego,"range(15, 66)",3.0,0.5,51,1.0
110,waymo_train,waymo_300-499,6567,862;ego,ego,"range(0, 29)",3.0,0.5,29,1.0
111,waymo_train,waymo_300-499,7147,13;ego,ego,"range(12, 56)",3.0,0.5,44,1.0
112,waymo_train,waymo_300-499,8791,458;ego,ego,"range(0, 43)",3.0,0.5,43,1.0
113,waymo_train,waymo_300-499,10837,403;ego,ego,"range(0, 54)",3.0,0.5,54,1.0
114,waymo_train,waymo_300-499,11043,2566;ego,ego,"range(4, 55)",3.0,0.5,51,0.769687267843545
115,waymo_train,waymo_300-499,12568,630;ego,ego,"range(16, 65)",3.0,0.5,49,1.0
116,waymo_train,waymo_300-499,13381,3104;ego,ego,"range(30, 86)",3.0,0.5,56,1.0
117,waymo_train,waymo_300-499,14368,99;ego,ego,"range(16, 55)",3.0,0.5,39,1.0
118,waymo_train,waymo_300-499,15819,1233;ego,ego,"range(0, 38)",3.0,0.5,38,1.0
119,waymo_train,waymo_300-499,17699,1355;ego,ego,"range(27, 80)",3.0,0.5,53,1.0
120,waymo_train,waymo_300-499,18460,1667;ego,ego,"range(5, 45)",3.0,0.5,40,1.0
121,waymo_train,waymo_300-499,24084,1929;1937;ego,ego,"range(33, 82)",3.0,0.5,49,1.0
122,waymo_train,waymo_300-499,28017,1582;ego,ego,"range(0, 42)",3.0,0.5,42,1.0
123,waymo_train,waymo_300-499,29531,38;ego,ego,"range(27, 76)",3.0,0.5,49,1.0
124,waymo_train,waymo_300-499,30263,449;ego,ego,"range(0, 34)",3.0,0.5,34,1.0
125,waymo_train,waymo_300-499,31872,2421;ego,ego,"range(21, 70)",3.0,0.5,49,0.9565993927603433
126,waymo_train,waymo_300-499,33029,2509;ego,ego,"range(0, 31)",3.0,0.5,31,1.0
127,waymo_train,waymo_300-499,33167,440;ego,ego,"range(0, 39)",3.0,0.5,39,1.0
128,waymo_train,waymo_300-499,33208,22;ego,ego,"range(0, 34)",3.0,0.5,34,1.0
129,waymo_train,waymo_300-499,33632,493;ego,ego,"range(20, 75)",3.0,0.5,55,1.0
130,waymo_train,waymo_300-499,33825,2034;ego,ego,"range(7, 52)",3.0,0.5,45,0.8260163838902845
131,waymo_train,waymo_300-499,36430,55;ego,ego,"range(0, 33)",3.0,0.5,33,1.0
132,waymo_train,waymo_300-499,36726,1673;ego,ego,"range(15, 81)",3.0,0.5,66,1.0
133,waymo_train,waymo_300-499,37568,819;ego,ego,"range(28, 76)",3.0,0.5,48,1.0
134,waymo_train,waymo_300-499,39123,2072;ego,ego,"range(0, 36)",3.0,0.5,36,1.0
135,waymo_train,waymo_300-499,39488,816;ego,ego,"range(14, 56)",3.0,0.5,42,1.0
136,waymo_train,waymo_300-499,40777,776;ego,ego,"range(12, 52)",3.0,0.5,40,1.0
137,waymo_train,waymo_300-499,42498,874;ego,ego,"range(0, 50)",3.0,0.5,50,1.0
138,waymo_train,waymo_300-499,45365,2520;ego,ego,"range(0, 59)",3.0,0.5,59,1.0
139,waymo_train,waymo_300-499,47578,2564;ego,ego,"range(7, 56)",3.0,0.5,49,1.0
140,waymo_train,waymo_300-499,49968,2678;2685;ego,ego,"range(0, 39)",3.0,0.5,39,0.8327877488871938
141,waymo_train,waymo_300-499,51732,1565;ego,ego,"range(20, 85)",3.0,0.5,65,1.0
142,waymo_train,waymo_300-499,52376,2;ego,ego,"range(16, 60)",3.0,0.5,44,1.0
143,waymo_train,waymo_300-499,52525,73;ego,ego,"range(0, 48)",3.0,0.5,48,0.7032270982360308
144,waymo_train,waymo_300-499,52760,1344;1347;ego,ego,"range(25, 70)",3.0,0.5,45,1.0
145,waymo_train,waymo_300-499,53170,1672;ego,ego,"range(31, 74)",3.0,0.5,43,1.0
146,waymo_train,waymo_300-499,53427,1658;ego,ego,"range(26, 67)",3.0,0.5,41,1.0
147,waymo_train,waymo_300-499,53674,426;ego,ego,"range(0, 34)",3.0,0.5,34,1.0
148,waymo_train,waymo_300-499,55806,989;ego,ego,"range(10, 74)",3.0,0.5,64,1.0
149,waymo_train,waymo_300-499,59323,1856;ego,ego,"range(0, 52)",3.0,0.5,52,1.0
150,waymo_train,waymo_300-499,59768,2678;ego,ego,"range(0, 41)",3.0,0.5,41,0.9760339870338608
151,waymo_train,waymo_300-499,60782,484;ego,ego,"range(0, 43)",3.0,0.5,43,0.9832961624336176
152,waymo_train,waymo_300-499,60921,1;ego,ego,"range(0, 57)",3.0,0.5,57,1.0
153,waymo_train,waymo_300-499,61572,807;ego,ego,"range(10, 50)",3.0,0.5,40,0.6897773732088316
154,waymo_train,waymo_300-499,63117,2357;ego,ego,"range(35, 85)",3.0,0.5,50,1.0
155,waymo_train,waymo_300-499,65037,276;ego,ego,"range(12, 58)",3.0,0.5,46,1.0
156,waymo_train,waymo_300-499,65447,17;ego,ego,"range(0, 41)",3.0,0.5,41,1.0
157,waymo_train,waymo_300-499,66183,207;ego,ego,"range(15, 72)",3.0,0.5,57,1.0
158,waymo_train,waymo_300-499,69948,2078;ego,ego,"range(21, 82)",3.0,0.5,61,1.0
159,waymo_train,waymo_300-499,71193,0;ego,ego,"range(3, 43)",3.0,0.5,40,1.0
160,waymo_train,waymo_300-499,72906,1300;ego,ego,"range(18, 62)",3.0,0.5,44,0.9259828853591654
161,waymo_train,waymo_300-499,74076,229;ego,ego,"range(30, 90)",3.0,0.5,60,0.9070682259377187
162,waymo_train,waymo_300-499,74479,430;ego,ego,"range(25, 88)",3.0,0.5,63,1.0
163,waymo_train,waymo_300-499,74600,2;ego,ego,"range(0, 40)",3.0,0.5,40,1.0
164,waymo_train,waymo_300-499,74720,1352;ego,ego,"range(0, 35)",3.0,0.5,35,1.0
165,waymo_train,waymo_300-499,75059,136;ego,ego,"range(0, 46)",3.0,0.5,46,0.8687437176098275
166,waymo_train,waymo_300-499,75126,485;ego,ego,"range(15, 54)",3.0,0.5,39,0.7732350244094494
167,waymo_train,waymo_300-499,83000,926;ego,ego,"range(0, 42)",3.0,0.5,42,1.0
168,waymo_train,waymo_300-499,84355,399;ego,ego,"range(11, 57)",3.0,0.5,46,1.0
169,waymo_train,waymo_300-499,86995,1089;1092;ego,ego,"range(0, 37)",3.0,0.5,37,1.0
170,waymo_train,waymo_300-499,86995,1089;1092;ego,ego,"range(0, 37)",3.0,0.5,37,1.0
171,waymo_train,waymo_300-499,87504,3244;ego,ego,"range(26, 82)",3.0,0.5,56,1.0
172,waymo_train,waymo_300-499,88500,1856;ego,ego,"range(0, 32)",3.0,0.5,32,1.0
173,waymo_train,waymo_300-499,91011,2448;ego,ego,"range(0, 37)",3.0,0.5,37,1.0
174,waymo_train,waymo_300-499,91653,796;ego,ego,"range(24, 82)",3.0,0.5,58,1.0
175,waymo_train,waymo_300-499,92088,2308;ego,ego,"range(11, 73)",3.0,0.5,62,1.0
176,waymo_train,waymo_300-499,92724,255;ego,ego,"range(44, 88)",3.0,0.5,44,1.0
177,waymo_train,waymo_300-499,96333,1738;ego,ego,"range(0, 41)",3.0,0.5,41,1.0
178,waymo_train,waymo_300-499,97309,1297;ego,ego,"range(0, 46)",3.0,0.5,46,0.989971005682179
179,waymo_train,waymo_500-799,21494,4;ego,ego,"range(0, 53)",3.0,0.5,53,1.0
180,waymo_train,waymo_500-799,3596,249;ego,ego,"range(0, 32)",3.0,0.5,32,1.0
181,waymo_train,waymo_500-799,41283,583;ego,ego,"range(24, 87)",3.0,0.5,63,1.0
182,waymo_train,waymo_500-799,44011,728;ego,ego,"range(0, 43)",3.0,0.5,43,1.0
183,waymo_train,waymo_500-799,44011,728;741;ego,ego,"range(0, 38)",3.0,0.5,38,1.0
184,waymo_train,waymo_500-799,45391,2;ego,ego,"range(10, 68)",3.0,0.5,58,1.0
185,waymo_train,waymo_500-799,4842,204;ego,ego,"range(0, 30)",3.0,0.5,30,1.0
186,waymo_train,waymo_500-799,61393,3512;ego,ego,"range(0, 53)",3.0,0.5,53,1.0
187,waymo_train,waymo_500-799,73980,1176;ego,ego,"range(30, 82)",3.0,0.5,52,1.0
188,waymo_train,waymo_500-799,81156,207;ego,ego,"range(36, 75)",3.0,0.5,39,1.0
189,waymo_train,waymo_500-799,8268,2235;ego,ego,"range(35, 84)",3.0,0.5,49,0.9712270794098768
190,waymo_train,waymo_500-799,103660,2220;2227;ego,ego,"range(20, 65)",3.0,0.5,45,1.0
191,waymo_train,waymo_500-799,13675,1667;ego,ego,"range(5, 45)",3.0,0.5,40,1.0
192,waymo_train,waymo_500-799,15617,39;ego,ego,"range(29, 90)",3.0,0.5,61,1.0
193,waymo_train,waymo_500-799,16609,1814;ego,ego,"range(0, 36)",3.0,0.5,36,1.0
194,waymo_train,waymo_500-799,18275,1279;ego,ego,"range(7, 52)",3.0,0.5,45,1.0
195,waymo_train,waymo_500-799,18960,1576;ego,ego,"range(0, 49)",3.0,0.5,49,1.0
