index,task_time_frames,task_time_seconds,v_max,task_path,task_time
223,32,3.2,23.467492304803017,50.19661287835927,0.6684327971965192
224,40,4.0,23.380452218883033,65.06215412745006,0.6956896461876722
225,37,3.7,36.459825003853204,53.302063792937496,0.395118824233466
226,33,3.3000000000000003,18.757819293687028,32.319470767189095,0.5221171430975691
227,58,5.800000000000001,26.211308193854407,87.85316998392308,0.5778841010553462
228,54,5.4,40.17812407713817,103.41115431325359,0.4766328493820926
229,42,4.2,28.812197391964798,78.72467923802293,0.6505568107892968
230,61,6.1000000000000005,21.064652082540878,91.82806574936615,0.7146465657918459
231,51,5.1000000000000005,34.15381538252467,76.87674224841652,0.44135247732275495
232,53,5.300000000000001,31.884930503617536,97.92008913334182,0.5794426465388945
233,50,5.0,21.31795018668832,58.779159428536936,0.5514522635974701
234,58,5.800000000000001,26.84155900871039,110.09628526604654,0.7071913424685374
235,50,5.0,14.05951574237734,41.22116089752824,0.5863809487162054
236,51,5.1000000000000005,9.015623255453486,25.604145070857392,0.5568578521836617
237,38,3.8000000000000003,79.92464946357335,50.45482415418077,0.16612628760771989
238,31,3.1,23.763642572952534,43.466075410443054,0.5900322143579493
239,40,4.0,21.854099097812615,72.29378788790581,0.8270048969342062
240,44,4.4,21.87310867988908,42.61294433517778,0.4427701712597114
241,58,5.800000000000001,23.84572676617543,90.47605956352596,0.6541767742020879
242,46,4.6000000000000005,9.005717945498189,40.64385254657077,0.9811122413884296
243,41,4.1000000000000005,18.958848816986418,18.652509486165542,0.2399614344477111
244,36,3.6,21.48823516152853,54.37443043869513,0.7028966474750127
245,49,4.9,19.867287440916783,21.975678932584923,0.22573954539887897
246,56,5.6000000000000005,26.34277524762505,106.45212965739739,0.7216137513493832
247,52,5.2,22.41259032971718,85.11959684673042,0.7303552600991305
248,46,4.6000000000000005,32.00198164500042,69.96019362524002,0.4752436243895357
249,49,4.9,23.393137622954082,79.02781192393185,0.6894382935023494
250,31,3.1,18.91373557084347,38.710499561948694,0.6602216614712024
251,58,5.800000000000001,23.23397399925714,99.2023101447308,0.7361567408668265
252,45,4.5,7.344686773977711,18.334153378678668,0.5547215874212857
253,66,6.6000000000000005,23.121822411110923,99.35729264631154,0.6510790966981501
254,36,3.6,35.88026713872528,67.1172004562193,0.5196078034010033
255,45,4.5,20.577759828564254,41.23763995283102,0.445331273465319
256,46,4.6000000000000005,18.42076997298094,30.538913283366576,0.36040264341685785
257,48,4.800000000000001,23.643224140907176,68.44437645242941,0.6031007027330499
258,60,6.0,23.643224140907176,85.3912412550549,0.6019430115660648
259,41,4.1000000000000005,11.369972543272285,22.440810147500823,0.48138799876850874
260,35,3.5,19.082208210916228,28.046096227581348,0.4199288815092946
261,42,4.2,18.265491442685637,49.63221668641592,0.646968327472996
262,50,5.0,10.749490648223444,53.54893953376002,0.9963065467220065
263,58,5.800000000000001,20.48261333138564,51.9820271969735,0.43756225522763925
264,49,4.9,45.40109187175588,32.40660084868206,0.14567032944089708
265,47,4.7,121.7354782812442,107.41505614403437,0.1877371131847709
266,56,5.6000000000000005,20.013792499406932,77.81443544489002,0.6942929432932304
267,40,4.0,15.982150765340556,32.187897492938156,0.503497588740402
268,45,4.5,17.821550686749266,49.03000894711877,0.6113697811888653
269,59,5.9,22.422373638190976,97.27793098436601,0.7353273644732037
270,36,3.6,22.245915841721665,62.16179333122816,0.7761948277196079
271,42,4.2,7.880555706011469,33.47449332456702,1.0
272,32,3.2,20.578230223969598,46.65484369150773,0.708498179625464
273,61,6.1000000000000005,37.07156988670491,115.61277629761216,0.5112519972871901
274,66,6.6000000000000005,33.68350881260361,82.77516971107357,0.37233924916316535
275,59,5.9,23.701395317442127,95.96190238918646,0.6862350929414177
276,41,4.1000000000000005,24.638461166127975,60.893475627449185,0.6028001150747668
277,70,7.0,22.777700695838476,105.87797844179973,0.6640453175525796
278,56,5.6000000000000005,29.35489047376199,109.14296081559078,0.6639375625937319
279,38,3.8000000000000003,29.101570795045223,52.8877681418552,0.47825025733354787
