index,start_time,type,ego,total_background_vehicles,n_background_vehicles,impact
258,28.0,AV_1,ego,53,8,0.900815270720047
259,0.0,AV_1,ego,13,13,1.0
260,0.0,AV_1,ego,100,100,1.0
261,1.0,AV_1,ego,24,1,1.0
262,11.0,AV_1,ego,4,1,0.5675122152012371
263,17.0,AV_1,ego,76,2,0.8805932997077756
264,2.0,AV_1,ego,228,0,1.0
265,0.0,AV_1,ego,30,30,1.0
266,0.0,AV_1,ego,17,17,1.0
267,0.0,AV_1,ego,24,24,1.0
268,0.0,AV_1,ego,26,26,1.0
269,0.0,AV_1,ego,20,20,1.0
270,0.0,AV_1,ego,39,39,1.0
271,0.0,AV_1,ego,59,59,1.0
272,0.0,AV_1,ego,108,108,1.0
273,0.0,AV_1,ego,32,32,1.0
274,0.0,AV_1,ego,7,7,1.0
275,0.0,AV_1,ego,30,30,1.0
276,0.0,AV_1,ego,55,55,1.0
277,0.0,AV_1,ego,53,53,1.0
278,0.0,AV_1,ego,19,19,1.0
279,0.0,AV_1,ego,78,78,1.0
280,8.0,AV_1,ego,54,2,0.5457856394136256
281,10.0,AV_1,ego,42,2,0.7359416798652296
282,0.0,AV_1,ego,34,34,1.0
283,0.0,AV_1,ego,181,181,1.0
284,20.0,AV_1,ego,39,9,0.9329303360147849
285,0.0,AV_1,ego,95,95,1.0
286,7.0,AV_1,ego,7,4,0.9376273813231009
287,0.0,AV_1,ego,35,35,1.0
288,0.0,AV_1,ego,17,17,1.0
289,10.0,AV_1,ego,40,1,0.7505329308918867
290,11.0,AV_1,ego,4,1,0.5675122152012371
291,0.0,AV_1,ego,38,38,1.0
292,8.0,AV_1,ego,60,2,0.5390975848776387
293,0.0,AV_1,ego,40,40,1.0
294,0.0,AV_1,ego,90,90,1.0
295,0.0,AV_1,ego,79,79,1.0
296,0.0,AV_1,ego,25,25,1.0
297,0.0,AV_1,ego,125,125,1.0
298,0.0,AV_1,ego,249,249,1.0
299,0.0,AV_1,ego,24,24,1.0
300,19.0,AV_1,ego,11,4,0.942596831114624
301,0.0,AV_1,ego,77,77,1.0
302,0.0,AV_1,ego,21,21,1.0
303,3.0,AV_1,ego,64,4,0.6406213989131607
304,0.0,AV_1,ego,37,37,1.0
