index,dataset,folder,scenario_idx,track_id,ego_id,timerange,comfortable_threshold,uncomfortable_threshold,linear_decay_slope,n_timesteps,a_p
76,waymo_train,waymo_0-299,130102,0;ego,ego,"range(0, 30)",0.89,2.12,0.5,30,1.0
77,waymo_train,waymo_0-299,130664,944;ego,ego,"range(3, 70)",0.89,2.12,0.5,67,1.0
78,waymo_train,waymo_0-299,132604,147;ego,ego,"range(21, 65)",0.89,2.12,0.5,44,0.9531255028198659
79,waymo_train,waymo_0-299,69563,1619;ego,ego,"range(0, 41)",0.89,2.12,0.5,41,0.916438537985035
80,waymo_train,waymo_0-299,134586,19;ego,ego,"range(28, 90)",0.89,2.12,0.5,62,1.0
81,waymo_train,waymo_0-299,70862,1201;ego,ego,"range(3, 43)",0.89,2.12,0.5,40,0.9048652086649345
82,waymo_train,waymo_0-299,136334,874;ego,ego,"range(20, 80)",0.89,2.12,0.5,60,1.0
83,waymo_train,waymo_0-299,136545,22;ego,ego,"range(0, 54)",0.89,2.12,0.5,54,1.0
84,waymo_train,waymo_0-299,137674,121;ego,ego,"range(0, 43)",0.89,2.12,0.5,43,0.9816221472316079
85,waymo_train,waymo_0-299,138672,448;ego,ego,"range(0, 52)",0.89,2.12,0.5,52,0.9049258307242855
86,waymo_train,waymo_0-299,75730,1522;ego,ego,"range(13, 64)",0.89,2.12,0.5,51,0.9091420503457014
87,waymo_train,waymo_0-299,7635,630;ego,ego,"range(26, 75)",0.89,2.12,0.5,49,1.0
88,waymo_train,waymo_0-299,141163,1055;ego,ego,"range(0, 51)",0.89,2.12,0.5,51,0.9737067011762541
89,waymo_train,waymo_0-299,141367,1629;ego,ego,"range(4, 44)",0.89,2.12,0.5,40,0.8665175409974246
90,waymo_train,waymo_0-299,77340,3023;ego,ego,"range(20, 78)",0.89,2.12,0.5,58,0.9708429614101679
91,waymo_train,waymo_0-299,142692,10;ego,ego,"range(28, 76)",0.89,2.12,0.5,48,1.0
92,waymo_train,waymo_0-299,142643,834;ego,ego,"range(0, 32)",0.89,2.12,0.5,32,1.0
93,waymo_train,waymo_0-299,78420,1445;1449;ego,ego,"range(25, 78)",0.89,2.12,0.5,53,0.9392654481348333
94,waymo_train,waymo_0-299,144899,2082;ego,ego,"range(0, 35)",0.89,2.12,0.5,35,0.9952383031889046
95,waymo_train,waymo_0-299,80298,1173;ego,ego,"range(29, 85)",0.89,2.12,0.5,56,0.9981715072157648
96,waymo_train,waymo_0-299,82104,2678;2685;ego,ego,"range(27, 69)",0.89,2.12,0.5,42,0.929282284971357
97,waymo_train,waymo_0-299,82350,811;ego,ego,"range(0, 48)",0.89,2.12,0.5,48,1.0
98,waymo_train,waymo_0-299,8355,2653;ego,ego,"range(0, 51)",0.89,2.12,0.5,51,1.0
99,waymo_train,waymo_0-299,8356,1911;1912;ego,ego,"range(25, 76)",0.89,2.12,0.5,51,0.9609747407071473
100,waymo_train,waymo_0-299,83990,1936;ego,ego,"range(24, 74)",0.89,2.12,0.5,50,0.9846054673184708
101,waymo_train,waymo_0-299,84631,1071;ego,ego,"range(30, 73)",0.89,2.12,0.5,43,0.951697049467215
102,waymo_train,waymo_0-299,85224,44;ego,ego,"range(0, 32)",0.89,2.12,0.5,32,0.6535881844414009
103,waymo_train,waymo_0-299,88794,7;ego,ego,"range(8, 52)",0.89,2.12,0.5,44,0.8837934127689852
104,waymo_train,waymo_300-499,7312,924;ego,ego,"range(0, 34)",0.89,2.12,0.5,34,0.9946719641861484
105,waymo_train,waymo_300-499,1013,3457;ego,ego,"range(25, 73)",0.89,2.12,0.5,48,0.9906152553572287
106,waymo_train,waymo_300-499,3052,572;ego,ego,"range(13, 75)",0.89,2.12,0.5,62,0.9946572961920246
107,waymo_train,waymo_300-499,3545,95;ego,ego,"range(40, 79)",0.89,2.12,0.5,39,0.9841806342206982
108,waymo_train,waymo_300-499,1698,3222;ego,ego,"range(18, 83)",0.89,2.12,0.5,65,1.0
109,waymo_train,waymo_300-499,4263,2;ego,ego,"range(15, 66)",0.89,2.12,0.5,51,0.6117416094946709
110,waymo_train,waymo_300-499,6567,862;ego,ego,"range(0, 29)",0.89,2.12,0.5,29,0.9231005652139951
111,waymo_train,waymo_300-499,7147,13;ego,ego,"range(12, 56)",0.89,2.12,0.5,44,0.8055829508053335
112,waymo_train,waymo_300-499,8791,458;ego,ego,"range(0, 43)",0.89,2.12,0.5,43,0.9083906254511726
113,waymo_train,waymo_300-499,10837,403;ego,ego,"range(0, 54)",0.89,2.12,0.5,54,1.0
114,waymo_train,waymo_300-499,11043,2566;ego,ego,"range(4, 55)",0.89,2.12,0.5,51,0.8443312801950235
115,waymo_train,waymo_300-499,12568,630;ego,ego,"range(16, 65)",0.89,2.12,0.5,49,1.0
116,waymo_train,waymo_300-499,13381,3104;ego,ego,"range(30, 86)",0.89,2.12,0.5,56,0.9998799463830584
117,waymo_train,waymo_300-499,14368,99;ego,ego,"range(16, 55)",0.89,2.12,0.5,39,1.0
118,waymo_train,waymo_300-499,15819,1233;ego,ego,"range(0, 38)",0.89,2.12,0.5,38,0.9431109724285683
119,waymo_train,waymo_300-499,17699,1355;ego,ego,"range(27, 80)",0.89,2.12,0.5,53,0.9648676202438969
120,waymo_train,waymo_300-499,18460,1667;ego,ego,"range(5, 45)",0.89,2.12,0.5,40,0.8670271455878954
121,waymo_train,waymo_300-499,24084,1929;1937;ego,ego,"range(33, 82)",0.89,2.12,0.5,49,0.8854023029432
122,waymo_train,waymo_300-499,28017,1582;ego,ego,"range(0, 42)",0.89,2.12,0.5,42,0.9824964142785779
123,waymo_train,waymo_300-499,29531,38;ego,ego,"range(27, 76)",0.89,2.12,0.5,49,0.998892970573977
124,waymo_train,waymo_300-499,30263,449;ego,ego,"range(0, 34)",0.89,2.12,0.5,34,0.863591188260054
125,waymo_train,waymo_300-499,31872,2421;ego,ego,"range(21, 70)",0.89,2.12,0.5,49,0.9997929230754418
126,waymo_train,waymo_300-499,33029,2509;ego,ego,"range(0, 31)",0.89,2.12,0.5,31,1.0
127,waymo_train,waymo_300-499,33167,440;ego,ego,"range(0, 39)",0.89,2.12,0.5,39,1.0
128,waymo_train,waymo_300-499,33208,22;ego,ego,"range(0, 34)",0.89,2.12,0.5,34,1.0
129,waymo_train,waymo_300-499,33632,493;ego,ego,"range(20, 75)",0.89,2.12,0.5,55,0.9205008012665583
130,waymo_train,waymo_300-499,33825,2034;ego,ego,"range(7, 52)",0.89,2.12,0.5,45,0.7052767201696462
131,waymo_train,waymo_300-499,36430,55;ego,ego,"range(0, 33)",0.89,2.12,0.5,33,1.0
132,waymo_train,waymo_300-499,36726,1673;ego,ego,"range(15, 81)",0.89,2.12,0.5,66,0.9938883583550103
133,waymo_train,waymo_300-499,37568,819;ego,ego,"range(28, 76)",0.89,2.12,0.5,48,1.0
