index,dataset,folder,scenario_idx,track_id,ego_id,timerange,comfortable_threshold,uncomfortable_threshold,linear_decay_slope,n_timesteps,yaw_rate
79,waymo_train,waymo_0-299,69563,1619;ego,ego,"range(0, 41)",0.1,0.37,0.5,41,1.0
80,waymo_train,waymo_0-299,134586,19;ego,ego,"range(28, 90)",0.1,0.37,0.5,62,1.0
81,waymo_train,waymo_0-299,70862,1201;ego,ego,"range(3, 43)",0.1,0.37,0.5,40,0.9488297144910962
82,waymo_train,waymo_0-299,136334,874;ego,ego,"range(20, 80)",0.1,0.37,0.5,60,1.0
83,waymo_train,waymo_0-299,136545,22;ego,ego,"range(0, 54)",0.1,0.37,0.5,54,1.0
84,waymo_train,waymo_0-299,137674,121;ego,ego,"range(0, 43)",0.1,0.37,0.5,43,1.0
85,waymo_train,waymo_0-299,138672,448;ego,ego,"range(0, 52)",0.1,0.37,0.5,52,1.0
86,waymo_train,waymo_0-299,75730,1522;ego,ego,"range(13, 64)",0.1,0.37,0.5,51,1.0
87,waymo_train,waymo_0-299,7635,630;ego,ego,"range(26, 75)",0.1,0.37,0.5,49,1.0
88,waymo_train,waymo_0-299,141163,1055;ego,ego,"range(0, 51)",0.1,0.37,0.5,51,1.0
89,waymo_train,waymo_0-299,141367,1629;ego,ego,"range(4, 44)",0.1,0.37,0.5,40,0.9966978704882605
90,waymo_train,waymo_0-299,77340,3023;ego,ego,"range(20, 78)",0.1,0.37,0.5,58,1.0
91,waymo_train,waymo_0-299,142692,10;ego,ego,"range(28, 76)",0.1,0.37,0.5,48,1.0
92,waymo_train,waymo_0-299,142643,834;ego,ego,"range(0, 32)",0.1,0.37,0.5,32,1.0
93,waymo_train,waymo_0-299,78420,1445;1449;ego,ego,"range(25, 78)",0.1,0.37,0.5,53,1.0
94,waymo_train,waymo_0-299,144899,2082;ego,ego,"range(0, 35)",0.1,0.37,0.5,35,1.0
95,waymo_train,waymo_0-299,80298,1173;ego,ego,"range(29, 85)",0.1,0.37,0.5,56,1.0
96,waymo_train,waymo_0-299,82104,2678;2685;ego,ego,"range(27, 69)",0.1,0.37,0.5,42,1.0
97,waymo_train,waymo_0-299,82350,811;ego,ego,"range(0, 48)",0.1,0.37,0.5,48,1.0
98,waymo_train,waymo_0-299,8355,2653;ego,ego,"range(0, 51)",0.1,0.37,0.5,51,1.0
99,waymo_train,waymo_0-299,8356,1911;1912;ego,ego,"range(25, 76)",0.1,0.37,0.5,51,1.0
100,waymo_train,waymo_0-299,83990,1936;ego,ego,"range(24, 74)",0.1,0.37,0.5,50,1.0
101,waymo_train,waymo_0-299,84631,1071;ego,ego,"range(30, 73)",0.1,0.37,0.5,43,0.9999490629416466
102,waymo_train,waymo_0-299,85224,44;ego,ego,"range(0, 32)",0.1,0.37,0.5,32,0.9986675576970692
103,waymo_train,waymo_0-299,88794,7;ego,ego,"range(8, 52)",0.1,0.37,0.5,44,1.0
104,waymo_train,waymo_300-499,7312,924;ego,ego,"range(0, 34)",0.1,0.37,0.5,34,1.0
105,waymo_train,waymo_300-499,1013,3457;ego,ego,"range(25, 73)",0.1,0.37,0.5,48,1.0
106,waymo_train,waymo_300-499,3052,572;ego,ego,"range(13, 75)",0.1,0.37,0.5,62,1.0
107,waymo_train,waymo_300-499,3545,95;ego,ego,"range(40, 79)",0.1,0.37,0.5,39,1.0
108,waymo_train,waymo_300-499,1698,3222;ego,ego,"range(18, 83)",0.1,0.37,0.5,65,1.0
109,waymo_train,waymo_300-499,4263,2;ego,ego,"range(15, 66)",0.1,0.37,0.5,51,0.9997233763228965
110,waymo_train,waymo_300-499,6567,862;ego,ego,"range(0, 29)",0.1,0.37,0.5,29,0.9995670039922515
111,waymo_train,waymo_300-499,7147,13;ego,ego,"range(12, 56)",0.1,0.37,0.5,44,1.0
112,waymo_train,waymo_300-499,8791,458;ego,ego,"range(0, 43)",0.1,0.37,0.5,43,1.0
113,waymo_train,waymo_300-499,10837,403;ego,ego,"range(0, 54)",0.1,0.37,0.5,54,1.0
114,waymo_train,waymo_300-499,11043,2566;ego,ego,"range(4, 55)",0.1,0.37,0.5,51,1.0
115,waymo_train,waymo_300-499,12568,630;ego,ego,"range(16, 65)",0.1,0.37,0.5,49,1.0
116,waymo_train,waymo_300-499,13381,3104;ego,ego,"range(30, 86)",0.1,0.37,0.5,56,1.0
117,waymo_train,waymo_300-499,14368,99;ego,ego,"range(16, 55)",0.1,0.37,0.5,39,1.0
118,waymo_train,waymo_300-499,15819,1233;ego,ego,"range(0, 38)",0.1,0.37,0.5,38,1.0
119,waymo_train,waymo_300-499,17699,1355;ego,ego,"range(27, 80)",0.1,0.37,0.5,53,1.0
120,waymo_train,waymo_300-499,18460,1667;ego,ego,"range(5, 45)",0.1,0.37,0.5,40,1.0
121,waymo_train,waymo_300-499,24084,1929;1937;ego,ego,"range(33, 82)",0.1,0.37,0.5,49,1.0
122,waymo_train,waymo_300-499,28017,1582;ego,ego,"range(0, 42)",0.1,0.37,0.5,42,1.0
123,waymo_train,waymo_300-499,29531,38;ego,ego,"range(27, 76)",0.1,0.37,0.5,49,1.0
124,waymo_train,waymo_300-499,30263,449;ego,ego,"range(0, 34)",0.1,0.37,0.5,34,1.0
125,waymo_train,waymo_300-499,31872,2421;ego,ego,"range(21, 70)",0.1,0.37,0.5,49,1.0
126,waymo_train,waymo_300-499,33029,2509;ego,ego,"range(0, 31)",0.1,0.37,0.5,31,1.0
127,waymo_train,waymo_300-499,33167,440;ego,ego,"range(0, 39)",0.1,0.37,0.5,39,1.0
128,waymo_train,waymo_300-499,33208,22;ego,ego,"range(0, 34)",0.1,0.37,0.5,34,1.0
129,waymo_train,waymo_300-499,33632,493;ego,ego,"range(20, 75)",0.1,0.37,0.5,55,1.0
130,waymo_train,waymo_300-499,33825,2034;ego,ego,"range(7, 52)",0.1,0.37,0.5,45,1.0
131,waymo_train,waymo_300-499,36430,55;ego,ego,"range(0, 33)",0.1,0.37,0.5,33,1.0
132,waymo_train,waymo_300-499,36726,1673;ego,ego,"range(15, 81)",0.1,0.37,0.5,66,1.0
133,waymo_train,waymo_300-499,37568,819;ego,ego,"range(28, 76)",0.1,0.37,0.5,48,1.0
134,waymo_train,waymo_300-499,39123,2072;ego,ego,"range(0, 36)",0.1,0.37,0.5,36,1.0
135,waymo_train,waymo_300-499,39488,816;ego,ego,"range(14, 56)",0.1,0.37,0.5,42,1.0
136,waymo_train,waymo_300-499,40777,776;ego,ego,"range(12, 52)",0.1,0.37,0.5,40,1.0
137,waymo_train,waymo_300-499,42498,874;ego,ego,"range(0, 50)",0.1,0.37,0.5,50,1.0
138,waymo_train,waymo_300-499,45365,2520;ego,ego,"range(0, 59)",0.1,0.37,0.5,59,1.0
139,waymo_train,waymo_300-499,47578,2564;ego,ego,"range(7, 56)",0.1,0.37,0.5,49,1.0
140,waymo_train,waymo_300-499,49968,2678;2685;ego,ego,"range(0, 39)",0.1,0.37,0.5,39,1.0
141,waymo_train,waymo_300-499,51732,1565;ego,ego,"range(20, 85)",0.1,0.37,0.5,65,1.0
142,waymo_train,waymo_300-499,52376,2;ego,ego,"range(16, 60)",0.1,0.37,0.5,44,1.0
143,waymo_train,waymo_300-499,52525,73;ego,ego,"range(0, 48)",0.1,0.37,0.5,48,0.874954296255973
144,waymo_train,waymo_300-499,52760,1344;1347;ego,ego,"range(25, 70)",0.1,0.37,0.5,45,1.0
145,waymo_train,waymo_300-499,53170,1672;ego,ego,"range(31, 74)",0.1,0.37,0.5,43,1.0
146,waymo_train,waymo_300-499,53427,1658;ego,ego,"range(26, 67)",0.1,0.37,0.5,41,1.0
147,waymo_train,waymo_300-499,53674,426;ego,ego,"range(0, 34)",0.1,0.37,0.5,34,1.0
148,waymo_train,waymo_300-499,55806,989;ego,ego,"range(10, 74)",0.1,0.37,0.5,64,1.0
149,waymo_train,waymo_300-499,59323,1856;ego,ego,"range(0, 52)",0.1,0.37,0.5,52,1.0
150,waymo_train,waymo_300-499,59768,2678;ego,ego,"range(0, 41)",0.1,0.37,0.5,41,1.0
151,waymo_train,waymo_300-499,60782,484;ego,ego,"range(0, 43)",0.1,0.37,0.5,43,1.0
152,waymo_train,waymo_300-499,60921,1;ego,ego,"range(0, 57)",0.1,0.37,0.5,57,1.0
153,waymo_train,waymo_300-499,61572,807;ego,ego,"range(10, 50)",0.1,0.37,0.5,40,1.0
154,waymo_train,waymo_300-499,63117,2357;ego,ego,"range(35, 85)",0.1,0.37,0.5,50,1.0
155,waymo_train,waymo_300-499,65037,276;ego,ego,"range(12, 58)",0.1,0.37,0.5,46,1.0
156,waymo_train,waymo_300-499,65447,17;ego,ego,"range(0, 41)",0.1,0.37,0.5,41,1.0
157,waymo_train,waymo_300-499,66183,207;ego,ego,"range(15, 72)",0.1,0.37,0.5,57,1.0
